,gdp
Afghanistan,2848
Albania,863
Algeria,1531
American.Samoa,NA
Andorra,NA
Angola,355
Antigua,6966
Argentina,8055
Armenia,354
Australia,20046
Austria,29006
Azerbaijan,321
Bahamas,12545
Bahrain,9073
Bangladesh,280
Barbados,7173
Belarus,994
Belgium,26582
Belize,2569
Benin,391
Bhutan,166
Bolivia,909
Bosnia,271
Botswana,3640
Brazil,4510
Brunei,16683
Bulgaria,1518
Burkina.Faso,165
Burundi,205
Cambodia,130
Cameroon,627
Canada,18943
Cape.Verde,994
Central.African.Rep,379
Chad,187
Chile,4736
China,582
Colombia,2215
Comoros,367
Congo,1008
Cook.Islands,5432
Costa.Rica,2696
Croatia,4014
Cuba,1983
Cyprus,11459
Czech.Republic,4450
Dem.Rep.of.the.Congo,117
Denmark,33191
Djibouti,893
Dominica,2831
Dominican.Republic,1508
East.Timor,NA
Ecuador,1565
Egypt,973
El.Salvador,1660
Equatorial.Guinea,388
Eritrea,96
Estonia,2433
Ethiopia,96
Fiji,2593
Finland,24453
France,26444
French.Guiana,23530
French.Polynesia,19766
Gabon,5007
Gambia,321
Gaza.Strip,NA
Georgia,343
Germany,29632
Ghana,397
Greece,8684
Grenada,2485
Guadeloupe,9145
Guam,NA
Guatemala,1392
Guinea,442
Guinea.Bissau,131
Guyana,726
Haiti,386
Honduras,697
Hong.Kong,22898
Hungary,4325
Iceland,26217
India,365
Indonesia,1019
Iran,1544
Iraq,11308
Ireland,17419
Israel,16738
Italy,19121
Ivory.Coast,736
Jamaica,1779
Japan,41718
Jordan,1228
Kazakhstan,995
Kenya,330
Kiribati,654
Korea.Dem.Peoples.Rep,271
Korea.Republic.of,9736
Kuwait,15757
Kyrgyzstan,331
Laos,359
Latvia,1764
Lebanon,3114
Lesotho,486
Liberia,1124
Libya,5498
Liechtenstein,42416
Lithuania,1595
Luxembourg,35109
Macau,NA
Macedonia,1660
Madagascar,215
Malawi,142
Malaysia,4313
Maldives,1079
Mali,223
Malta,8793
Marshall.Islands,1649
Martinique,12717
Mauritania,401
Mauritius,3508
Mexico,2700
Micronesia,2104
Moldova,383
Monaco,26470
Mongolia,388
Morocco,1265
Mozambique,77
Myanmar,2399
Namibia,2059
Nepal,203
Netherlands,25635
Netherlands.Antilles,9039
New.Caledonia,19450
New.Zealand,16866
Nicaragua,464
Niger,207
Nigeria,587
Northern.Mariana.Islands,NA
Norway,33734
Oman,6232
Pakistan,504
Palau,6417
Panama,2934
Papua.New.Guinea,1083
Paraguay,1860
Peru,2497
Philippines,1093
Poland,3058
Portugal,10428
Puerto.Rico,12213
Qatar,14013
Reunion,11854
Romania,1570
Russia,2451
Rwanda,238
Saint.Kitts,4819
Saint.Lucia,3183
Samoa,1106
San.Marino,19121
Sao.Tome,49
Saudi.Arabia,6583
Senegal,572
Seychelles,7272
Sierra.Leone,293
Singapore,25581
Slovakia,3266
Slovenia,9652
Solomon.Islands,686
Somalia,119
South.Africa,3230
Spain,14111
Sri.Lanka,716
St.Vincent,2305
Sudan,36
Suriname,967
Swaziland,1389
Sweden,26253
Switzerland,42416
Syria,3573
Tajikistan,122
Tanzania,139
Thailand,2896
Togo,322
Tonga,1787
Trinidad.and.Tobago,4083
Tunisia,2030
Turkey,2814
Turkmenistan,321
Tuvalu,NA
Uganda,305
Ukraine,694
United.Arab.Emirates,17690
United.Kingdom,18913
United.States,26037
Uruguay,5602
Uzbekistan,435
Vanuatu,1289
Venezuela,3496
Viet.Nam,270
Virgin.Islands,NA
Western.Sahara,NA
Yemen,732
Yugoslavia,1487
Zambia,382
Zimbabwe,786
